id,train,age,educ,married
11,1,19,9,0
12,1,21,13,0
13,1,18,8,0
14,1,27,10,1
15,1,17,7,0
16,1,19,10,0
17,1,27,13,0
18,1,23,10,0
19,1,40,12,0
20,1,26,12,0
21,1,23,11,0
22,1,41,14,0
23,1,38,9,0
24,1,24,11,0
25,1,18,10,0
26,1,29,11,1
27,1,25,11,0
28,1,27,10,0
29,1,17,10,0
30,1,24,11,0
31,1,17,10,0
32,1,48,4,0
33,1,25,11,1
34,1,20,12,0
35,1,25,12,0
36,1,42,14,0
37,1,25,5,0
38,1,23,12,1
39,1,46,8,1
40,1,24,10,0
41,1,21,12,0
42,1,19,9,0
43,1,17,8,0
44,1,18,8,1
45,1,20,11,0
46,1,25,11,1
47,1,17,8,0
48,1,17,9,0
49,1,25,5,0
50,1,23,12,0
51,1,28,8,0
52,1,31,11,1
53,1,18,11,0
54,1,25,12,0
55,1,30,11,1
56,1,17,10,0
57,1,37,9,0
58,1,41,4,1
59,1,42,14,1
60,1,22,11,0
61,1,17,8,0
62,1,29,8,0
63,1,35,10,0
64,1,27,11,0
65,1,29,4,0
66,1,28,9,0
67,1,27,11,0
68,1,23,7,0
69,1,45,5,1
70,1,29,13,0
71,1,27,9,0
72,1,46,13,0
73,1,18,6,0
74,1,25,12,0
75,1,28,15,0
76,1,25,11,0
77,1,22,12,0
78,1,21,9,0
79,1,40,11,0
80,1,22,11,0
81,1,25,12,0
82,1,18,12,0
83,1,38,12,0
84,1,27,13,0
85,1,27,8,0
86,1,38,11,0
87,1,23,8,0
88,1,26,11,0
89,1,21,12,0
90,1,25,8,0
91,1,31,11,1
92,1,17,10,0
93,1,25,11,0
94,1,21,12,0
95,1,44,11,0
96,1,25,12,0
97,1,18,9,0
98,1,42,12,0
99,1,25,10,0
100,1,31,9,0
101,1,24,10,0
102,1,26,10,0
103,1,25,11,0
104,1,18,11,0
105,1,19,11,0
106,1,43,9,0
107,1,27,13,0
108,1,17,9,0
109,1,30,11,0
110,1,26,10,1
111,1,20,9,0
112,1,17,9,0
113,1,20,12,0
114,1,18,11,0
115,1,27,12,1
116,1,21,12,0
117,1,27,12,0
118,1,20,12,0
119,1,19,10,0
120,1,23,12,0
121,1,29,14,0
122,1,18,10,0
123,1,19,9,0
124,1,27,13,1
125,1,18,11,0
126,1,27,9,1
127,1,22,12,0
128,1,23,10,1
129,1,23,12,0
130,1,20,11,0
131,1,17,9,0
132,1,28,11,0
133,1,26,11,1
134,1,20,11,0
135,1,24,11,1
136,1,31,9,0
137,1,23,8,1
138,1,18,10,0
139,1,29,12,0
140,1,26,11,0
141,1,24,9,0
142,1,25,12,0
143,1,24,10,0
144,1,46,8,0
145,1,31,12,0
146,1,19,11,0
147,1,19,8,0
148,1,27,11,0
149,1,26,11,1
150,1,20,10,0
151,1,28,10,0
152,1,24,12,0
153,1,19,8,0
154,1,23,12,0
155,1,42,9,1
156,1,25,13,0
157,1,18,9,0
158,1,21,12,0
159,1,27,10,0
160,1,21,8,0
161,1,22,9,0
162,1,31,4,0
163,1,24,10,1
164,1,29,10,0
165,1,29,12,0
166,1,19,10,0
167,1,19,11,1
168,1,31,9,0
169,1,22,10,1
170,1,21,9,0
171,1,17,10,0
172,1,26,12,1
173,1,20,9,0
174,1,19,10,0
175,1,26,10,0
176,1,28,11,0
177,1,22,12,1
178,1,33,11,0
179,1,22,12,0
180,1,29,10,0
181,1,33,12,1
182,1,25,14,1
183,1,35,9,1
184,1,35,8,1
185,1,33,11,1
186,0,23,10,0
187,0,26,12,0
188,0,22,9,0
189,0,18,9,0
190,0,45,11,0
191,0,18,9,0
192,0,24,8,0
193,0,34,11,1
194,0,24,4,0
195,0,36,10,0
196,0,21,14,0
197,0,28,9,0
198,0,27,7,1
199,0,19,11,0
200,0,20,8,0
201,0,34,12,0
202,0,24,10,0
203,0,22,8,0
204,0,25,11,0
205,0,39,9,0
206,0,19,9,1
207,0,44,9,0
208,0,27,8,0
209,0,25,8,0
210,0,31,10,0
211,0,34,10,1
212,0,21,7,0
213,0,33,12,0
214,0,18,10,0
215,0,26,12,1
216,0,31,12,0
217,0,35,10,0
218,0,20,12,0
219,0,25,11,0
220,0,25,10,0
221,0,35,11,0
222,0,20,10,0
223,0,25,9,0
224,0,27,10,0
225,0,20,11,0
226,0,26,11,0
227,0,38,8,0
228,0,34,10,0
229,0,19,12,0
230,0,32,8,0
231,0,20,9,0
232,0,23,10,0
233,0,38,10,0
234,0,24,11,0
235,0,23,11,0
236,0,20,7,0
237,0,21,11,0
238,0,25,10,0
239,0,22,11,1
240,0,23,11,0
241,0,24,12,0
242,0,29,11,0
243,0,24,11,0
244,0,22,9,0
245,0,28,11,0
246,0,18,10,0
247,0,26,10,0
248,0,25,10,0
249,0,24,10,0
250,0,26,5,0
251,0,36,10,0
252,0,22,11,0
253,0,25,12,0
254,0,27,11,0
255,0,29,8,0
256,0,24,12,0
257,0,22,10,0
258,0,24,7,0
259,0,29,12,0
260,0,25,11,1
261,0,30,12,0
262,0,22,8,0
263,0,55,3,0
264,0,20,10,0
265,0,34,11,0
266,0,22,12,0
267,0,32,12,1
268,0,31,10,0
269,0,18,9,0
270,0,50,10,0
271,0,25,11,1
272,0,23,10,1
273,0,38,10,0
274,0,25,10,1
275,0,42,10,0
276,0,39,12,1
277,0,34,13,1
278,0,24,7,0
279,0,32,11,0
280,0,27,13,0
281,0,26,10,0
282,0,44,11,0
283,0,25,11,0
284,0,25,12,0
285,0,28,12,1
286,0,32,10,0
287,0,22,10,0
288,0,19,9,0
289,0,31,10,1
290,0,23,11,0
291,0,33,11,0
292,0,27,10,0
293,0,29,11,1
294,0,23,10,0
295,0,25,9,1
296,0,25,10,0
297,0,24,10,0
298,0,28,8,0
299,0,26,6,0
300,0,30,14,1
